Emblem;Name;Type;Slot;Potential;Health;Attack;Defence;Magic;Link1;Link2;Link3;Col
ICE;ARCTIC ARCANIST ARMOR;MAGIC;CHEST;316;5910;6269;7341;12055;SPELLBOOK OF THE ARCANIST;ICE CRACKERS;HAVOC MEMENTO;M
ICE;SPELLBOOK OF THE ARCANIST;ATTACK;TALISMAN;316;7470;11948;5871;6237;ARCTIC ARCANIST ARMOR;FRIGRID GRIP;FURIOUS TREMORS;A
ICE;CHUNK OF VITALITY;HEALTH;NECKLACE;316;15724;5076;4541;4754;PIERCING SLEET;PERMAFROST;;H
ICE;PERMAFROST;MAGIC;RING;316;4378;4749;5233;15724;CHUNK OF VITALITY;PIERCING SLEET;CRIMSON PROTECTION;MCol
ICE;PIERCING SLEET;ATTACK;TALISMAN;316;4732;15622;4473;5216;PERMAFROST;CHUNK OF VITALITY;CHARGE OF THE HELLHOUND;ACol
ICE;ICE CRACKERS;DEFENCE;BOOTS;315;6033;7178;11757;6381;NECKLACE OF THE HAIL;ARCTIC ARCANIST ARMOR;INFERNAL REAPERS;D
ICE;NECKLACE OF THE HAIL;ATTACK;NECKLACE;315;7452;11894;5892;6269;WHITE WALKER'S VISOR;SPELLBOOK OF THE ARCANIST;REAVER'S HOWL;A
ICE;RING OF ETERNAL WINTER;MAGIC;RING;315;6237;6088;7278;11894;FRIGRID GRIP;ICE CRACKERS;HOUND LORD'S RING;M
DEATH;HELL-FORGER SNOUT;ATTACK;HELM;314;7358;11800;5904;6269;HAVOC MEMENTO;HOUND LORD'S RING;DUSK BUTTERFLY'S GRACE;A
DEATH;HAVOC MEMENTO;MAGIC;NECKLACE;314;6169;6000;7304;11847;HELL-FORGER SNOUT;REAVER'S HOWL;POISON CENTIPEDE'S VIRULENCE;M
DEATH;DROP OF BLOOD;HEALTH;NECKLACE;314;15422;5161;4484;4754;CHARGE OF THE HELLHOUND;CRIMSON PROTECTION;CHUNK OF VITALITY;H
DEATH;CRIMSON PROTECTION;DEFENCE;RING;314;4781;5086;15590;4594;DROP OF BLOOD;CHARGE OF THE HELLHOUND;FIREFLY'S AURA;DCol
DEATH;CHARGE OF THE HELLHOUND;ATTACK;TALISMAN;314;4648;15466;4473;5270;CRIMSON PROTECTION;DROP OF BLOOD;STINGER COIN;ACol
ICE;WHITE WALKER'S VISOR;DEFENCE;HELM;314;5994;7378;11835;6138;NECKLACE OF THE HAIL;RING OF ETERNAL WINTER;HOUND LORD'S RING;D
